date,morningTurn,morningContext,afterNoonTurn,afternoonContext
2021-06-01,"38,07",{},"48,24",{'comment': 'SE PIERDE TIEMPO POR COLORES SIN COLAR Y POR PROBLEMAS CON EL AGUA MUY POCA PRESION'}
2021-06-02,"39,69",{},"48,33",
2021-06-03,"32,43",{},"35,82",
2021-06-04,"64,50",{},"42,95",
2021-06-05,"50,82",{},"50,04",
2021-06-06,"11,15",{},,
2021-06-07,"45,45",{},,
2021-06-08,"47,97",{},"45,92",
2021-06-09,"40,16",{'comment': 'SE PIERDE  MUCHO TIEMPO MATIZANDO COLO DE MAQUILA'},"49,13",
2021-06-10,"37,48",{},"39,14",
2021-06-11,"48,92",{},"45,32",
2021-06-12,"48,86",{},"36,98",
2021-06-14,"25,67",{},,
2021-06-15,"40,22",{},"40,24",
2021-06-16,"48,68",{},"33,27",
2021-06-17,"31,65",{},"46,61",
2021-06-18,"29,07",{'comment': 'MUCHA PRDIDA DE TIEMPO POR DISEÃ‘OS SUSPENDIDOS DOS POR GRABACION Y UNO POR RAYAS EN EL  ESTAMPADO '},"38,46",
2021-06-19,"44,65",,"41,22",
2021-06-21,"53,49",,"16,59",